name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,autofireAccBonus,extraArcForAI,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
Olympus Lights (Elite),ii_elite_lights_olympus,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,7693
Praetorian Lights (Elite),ii_elite_lights_praetorian,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,7693
Princeps Lights (Elite),ii_elite_lights_princeps,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,7693
Sebastos Lights (Elite),ii_elite_lights_sebastos,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,7693
Basileus Mask Lower,ii_basilius_mask_lower,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,7695
Basileus Mask Medium,ii_basilius_mask_medium,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,7696
Basileus Mask Middle,ii_basilius_mask_middle,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,7697
Basileus Mask Upper,ii_basilius_mask_upper,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,7698
Lynx Left Prong,ii_lynx_leftprong,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,7697
Lynx Right Prong,ii_lynx_rightprong,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,7698
Magna Fulmen Progress Bar,ii_magna_fulmen_bar,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,7698
Clypeus Lights,ii_clypeus_lights,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,7693
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flare Launcher (Base),ii_flares,,,,400,,10,100,,,,,0,,ENERGY,0,0,0,0.2,6,0.2,0,0,0,0,,150,300,3,1,,,SYSTEM,,,,,,,,,,,,,,,7691
Flare Launcher (Standard),ii_flares_standard,,,,400,,10,100,,,,,0,,ENERGY,0,0,0,0,1,,30,30,0,0,,150,300,3,1,,,SYSTEM,,,,,,,,,,,,,,,7691
Flare Launcher (Armor),ii_flares_armor,,,,600,,10,100,,,,,0,,ENERGY,0,0,0,0,1,,10,10,0,0,,100,200,6,1,,,SYSTEM,,,,,,,,,,,,,,,7691
Flare Launcher (Targeting),ii_flares_targeting,,,,500,,10,300,,,,,0,,ENERGY,0,0,0,0,1,,90,90,0,0,,350,200,6,1,,,SYSTEM,,,,,,,,,,,,,,,7691
Flare Launcher (Elite),ii_flares_elite,,,,800,,200,400,,,,,0,,ENERGY,0,0,0,0,1,,90,90,0,0,,400,150,6,150,,,"SYSTEM, DO_NOT_AIM",,,,,,,,,,,,,,,7691
Decoy Flare Launcher (Burst),ii_burst_flares,,,,200,,10,,,,,,0,,ENERGY,0,0,0,0.5,1,,5,5,0,0,,150,200,5,200,,,SYSTEM,,,,,,,,,,,,,,,7691
Decoy Flare Launcher (Single),ii_flamen_flares,,,,200,,10,,,,,,0,,ENERGY,0,0,0,0.1,1,,30,30,0,0,,150,200,5,200,,,SYSTEM,,,,,,,,,,,,,,,7692
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
波动炮,ii_boss_wavemotion,4,,19000,1000,2500,,,0,0,50,15,,,ENERGY,,1000,2,0.5,3,10,,,,,1200,,,,,,,"SYSTEM,STRIKE",,ii_special_only,星际帝国 [独特],,打击,,,,,当命中时，将造成大范围额外{%s}的高爆伤害。,1000,,,,7676
天启 X 阵列,ii_boss_apocalypse,4,,44000,10000,,400,,10,0,120,144,2.4,,HIGH_EXPLOSIVE,40,,0,5.3,48,0.1,0,0,0,0,,300,600,35,100,,,"SYSTEM, DO_NOT_AIM, DO_NOT_CONSERVE",,,星际帝国 [独特],,大型压制,,,,,,,,,,7670
芬德 X 阵列,ii_boss_fundae,4,,30000,2000,,40,,4,0,80,336,5.6,,HIGH_EXPLOSIVE,10,,0,4.45,112,0.05,6,6,0,0,,400,800,8,30,,,"SYSTEM, ANTI_FTR, DO_NOT_AIM, DO_NOT_CONSERVE",,,星际帝国 [独特],,大型反舰艇 (范围),,,,,对附近的舰船、战机与导弹造成最多额外{%s}的破片伤害。,140,,,,7660
Yamato Radar,ii_boss_yamato_radar,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,7697
Yamato Left Wing,ii_boss_yamato_wing_left,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,7697
Yamato Right Wing,ii_boss_yamato_wing_right,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,7697
Titan-X Glow,ii_boss_titanx_glow,,,,1,1,,,,,,,,,,,,,10,,,,,,,,,,,,,,SYSTEM,,,,,,,,,,,,,,,7693
